Capacity,Voltage
0.561122244,4.053921579
0.554108216,4.055154652
0.547094188,4.056352632
0.54008016,4.057514753
0.533066132,4.058642968
0.526052104,4.059736493
0.519038076,4.060794099
0.512024048,4.061815064
0.50501002,4.062805405
0.497995992,4.063770969
0.490981964,4.06471406
0.483967936,4.065636467
0.476953908,4.066539977
0.46993988,4.067426377
0.462925852,4.068297455
0.455911824,4.069154999
0.448897796,4.070000796
0.441883768,4.070836633
0.434869739,4.071664298
0.427855711,4.072483271
0.420841683,4.073284846
0.413827655,4.074068309
0.406813627,4.074836984
0.399799599,4.075593092
0.392785571,4.0763393
0.385771543,4.077078647
0.378757515,4.07781976
0.371743487,4.078568026
0.364729459,4.079320094
0.357715431,4.080073483
0.350701403,4.080828399
0.343687375,4.08146423
0.336673347,4.082199897
0.329659319,4.082933588
0.322645291,4.083662186
0.315631263,4.084383506
0.308617234,4.085098247
0.301603206,4.085807105
0.294589178,4.086510779
0.28757515,4.087209965
0.280561122,4.087904983
0.273547094,4.088593517
0.266533066,4.089272518
0.259519038,4.089940412
0.25250501,4.090605982
0.245490982,4.091287117
0.238476954,4.091987771
0.231462926,4.092714398
0.224448898,4.093478744
0.21743487,4.094284016
0.210420842,4.095132843
0.203406814,4.096027856
0.196392786,4.096971685
0.189378758,4.097966958
0.182364729,4.099016307
0.175350701,4.10012236
0.168336673,4.101287748
0.161322645,4.102515101
0.154308617,4.103807047
0.147294589,4.105166217
0.140280561,4.106596643
0.133266533,4.108284404
0.126252505,4.110341101
0.119238477,4.112637175
0.112224449,4.115138379
0.105210421,4.117891903
0.098196393,4.120900377
0.091182365,4.124175168
0.084168337,4.127694727
0.077154309,4.13142215
0.070140281,4.135328263
0.063126253,4.139505386
0.056112224,4.144031638
0.049098196,4.148832656
0.042084168,4.153936302
0.03507014,4.159383247
0.028056112,4.165530822
0.021042084,4.171990987
0.014028056,4.178909264
0.007014028,4.188551126
0,4.199992556
